time bp_transducer_voltage trigger
2015-04-14-13-42-343000: 2.23173372275 -1.0
2015-04-14-13-42-359000: 2.22971952263 -1.0
2015-04-14-13-42-375000: 2.33219195327 -1.0
2015-04-14-13-42-390000: 2.5563220706 -1.0
2015-04-14-13-42-406000: 2.57162999144 -1.0
2015-04-14-13-42-421000: 2.65421219598 -1.0
2015-04-14-13-42-437000: 2.64645752556 2.64945752556
2015-04-14-13-42-468000: 2.63386877486 -1.0
2015-04-14-13-42-468000: 2.61231683368 -1.0
2015-04-14-13-42-484000: 2.52464877386 -1.0
2015-04-14-13-42-515000: 2.4963492623 -1.0
2015-04-14-13-42-515000: 2.43108917871 -1.0
2015-04-14-13-42-546000: 2.31945213757 -1.0
2015-04-14-13-42-562000: 2.33209124327 -1.0
2015-04-14-13-42-578000: 2.31285563221 -1.0
2015-04-14-13-42-593000: 2.2928143411 -1.0
2015-04-14-13-42-609000: 2.22090739715 -1.0
2015-04-14-13-42-625000: 2.20494486127 -1.0
2015-04-14-13-42-640000: 2.1855078302 -1.0
2015-04-14-13-42-656000: 2.16803464424 -1.0
2015-04-14-13-42-671000: 2.15262601339 -1.0
2015-04-14-13-42-687000: 2.13253436729 -1.0
2015-04-14-13-42-703000: 2.11506118133 -1.0
2015-04-14-13-42-718000: 2.11259378619 -1.0
2015-04-14-13-42-734000: 2.10262349564 -1.0
2015-04-14-13-42-750000: 2.09879651543 -1.0
2015-04-14-13-42-765000: 2.08565385971 -1.0
2015-04-14-13-42-781000: 2.07175587895 -1.0
2015-04-14-13-42-796000: 2.07069842389 -1.0
2015-04-14-13-42-812000: 2.07774812428 -1.0
2015-04-14-13-42-828000: 2.39196334156 -1.0
2015-04-14-13-42-843000: 2.45762626517 -1.0
2015-04-14-13-42-859000: 2.47570371116 -1.0
2015-04-14-13-42-875000: 2.49151518203 -1.0
2015-04-14-13-42-890000: 2.47298454101 2.47598454101
2015-04-14-13-42-906000: 2.44317437937 -1.0
2015-04-14-13-42-921000: 2.42877284858 -1.0
2015-04-14-13-42-937000: 2.3891434614 -1.0
2015-04-14-13-42-953000: 2.33284656831 -1.0
2015-04-14-13-42-968000: 2.24064655824 -1.0
2015-04-14-13-42-984000: 2.23707135304 -1.0
2015-04-14-13-42-000000: 2.21753361196 -1.0
2015-04-14-13-42-015000: 2.20982929654 -1.0
2015-04-14-13-42-031000: 2.19190291555 -1.0
2015-04-14-13-42-046000: 2.16617150914 -1.0
2015-04-14-13-42-062000: 2.15675512362 -1.0
2015-04-14-13-42-078000: 2.14023868271 -1.0
2015-04-14-13-42-093000: 2.12749886701 -1.0
2015-04-14-13-42-109000: 2.11299662621 -1.0
2015-04-14-13-42-140000: 2.10509089078 -1.0
2015-04-14-13-42-140000: 2.09376101516 -1.0
2015-04-14-13-42-156000: 2.08741628481 -1.0
2015-04-14-13-42-187000: 2.09013545496 -1.0
2015-04-14-13-42-187000: 2.07487788912 -1.0
2015-04-14-13-42-218000: 2.07764741427 -1.0
2015-04-14-13-42-234000: 2.06606576363 -1.0
2015-04-14-13-42-250000: 2.05931819326 -1.0
2015-04-14-13-42-265000: 2.35570773956 -1.0
2015-04-14-13-42-281000: 2.46684123068 -1.0
2015-04-14-13-42-296000: 2.45359786495 -1.0
2015-04-14-13-42-312000: 2.48678181177 -1.0
2015-04-14-13-42-328000: 2.47988317639 2.48288317639
2015-04-14-13-42-343000: 2.45208721486 -1.0
2015-04-14-13-42-359000: 2.42126995317 -1.0
2015-04-14-13-42-375000: 2.40278966715 -1.0
2015-04-14-13-42-390000: 2.35364318445 -1.0
2015-04-14-13-42-406000: 2.24704164359 -1.0
2015-04-14-13-42-421000: 2.25781761418 -1.0
2015-04-14-13-42-437000: 2.23606425298 -1.0
2015-04-14-13-42-453000: 2.2128002417 -1.0
2015-04-14-13-42-468000: 2.19940581097 -1.0
2015-04-14-13-42-484000: 2.17765244977 -1.0
2015-04-14-13-42-500000: 2.16022961881 -1.0
2015-04-14-13-42-515000: 2.1490004532 -1.0
2015-04-14-13-42-531000: 2.14310891787 -1.0
2015-04-14-13-42-546000: 2.12190946171 -1.0
2015-04-14-13-42-562000: 2.11571579636 -1.0
2015-04-14-13-42-578000: 2.10342917569 -1.0
2015-04-14-13-42-593000: 2.09144468503 -1.0
2015-04-14-13-42-609000: 2.08429427464 -1.0
2015-04-14-13-42-625000: 2.07583463417 -1.0
2015-04-14-13-42-640000: 2.06616647364 -1.0
2015-04-14-13-42-656000: 2.06143310338 -1.0
2015-04-14-13-42-671000: 2.054484113 -1.0
2015-04-14-13-42-687000: 2.25781761418 -1.0
2015-04-14-13-42-703000: 2.42977994864 -1.0
2015-04-14-13-42-718000: 2.4381388791 -1.0
2015-04-14-13-42-734000: 2.4999748225 -1.0
2015-04-14-13-42-750000: 2.48300518657 2.48600518657
2015-04-14-13-42-765000: 2.46120147037 -1.0
2015-04-14-13-42-781000: 2.43536935395 -1.0
2015-04-14-13-42-812000: 2.41401883277 -1.0
2015-04-14-13-42-812000: 2.37297950551 -1.0
2015-04-14-13-42-828000: 2.29568457626 -1.0
2015-04-14-13-42-859000: 2.26421269953 -1.0
2015-04-14-13-42-875000: 2.24391963342 -1.0
